name,popularity,play_count,spotify_revenue,apple_revenue
Gimme a Pigfoot and a Bottle of Beer,17,663326,2943.18,4875.45
Horses - Take 2,17,93337,414.14,686.03
There Ain't No Land Like Dixieland to Me (feat. Bix Beiderbecke & Frank Trumbauer),17,30262,134.27,222.43
Riverboat Shuffle (feat. Bix Beiderbecke),17,81476,361.51,598.85
Way Down Yonder In New Orleans (feat. Bix Beiderbecke),17,384342,1705.33,2824.91
All That Meat And No Potatoes,16,454703,2017.52,3342.07
California Blues,16,86564,384.08,636.25
Memories Of You (feat. Charlie Christian),16,172227,764.17,1265.87
Mother's Children Have a Hard Time,16,230693,1023.58,1695.59
Bye and Bye I'm Goin' to See the King,16,230822,1024.16,1696.54
The Glow Worm,15,173445,769.58,1274.82
Your Love Is Like a Flower,15,97453,432.40,716.28
The Last Time I Saw Paris,15,39176,173.82,287.94
The Duke,15,3491950,15493.78,25665.83
Candlelight on Crystal,15,185770,824.26,1365.41
From Four Until Late,14,22500361,99834.10,165377.65
Sleigh Ride (with Paula Kelly),14,687330,3049.68,5051.88
Hellhound on My Trail,14,665442,2952.57,4891.00
"Single Girl, Married Girl",14,278117,1234.01,2044.16
Somebody Stole My Gal - Instrumental,14,54392,241.34,399.78
Carolina In the Morning,13,916959,4068.55,6739.65
Cast Your Fate To The Wind,13,808852,3588.88,5945.06
I Ain't Marching Anymore - Alternate Version,13,46630,206.90,342.73
Any Time You Want Love - 2019 - Remaster,13,18353,81.43,134.89
Ami Chini Go Chini Tomare,13,8618,38.24,63.34
Crepuscule With Nellie (Takes 4 & 5),12,149611,663.82,1099.64
Springsville - Mono Version,12,144397,640.69,1061.32
Ysabel's Table Dance - 1957/62 Master Takes,12,114439,507.77,841.13
Sauerkraut Calypso,12,40368,179.11,296.70
The Maids of Cadiz - Mono Version,12,40368,179.11,296.70
Rosa Engeitada,11,117999,523.56,867.29
My Fair Lady: I'm an Ordinary Man,11,113468,503.46,833.99
A Lovely Way To Spend An Evening,11,96333,427.43,708.05
Gidget Goes Hawaiian,11,58451,259.35,429.61
Don't Take Your Love From Me - 2002 Remaster,11,55538,246.42,408.20
The Night They Invented Champagne,11,34869,154.71,256.29
White Christmas Medley: Winter Wonderland/Silver Bells/White Christmas,11,33244,147.50,244.34
Ride On King Jesus,11,29829,132.35,219.24
Molly and Tenbrooks (The Race Horse Song),10,115129,510.83,846.20
Cherry Pies Ought to Be You (with Rosemary Clooney),10,88557,392.93,650.89
Easy to Love / I've Got You Under My Skin,10,68997,306.14,507.13
In a Little Spanish Town,10,38198,169.48,280.76
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 3,10,33940,150.59,249.46
I've Got The Sun In The Morning,10,26392,117.10,193.98
Pal Bhar Mein Yeh Kya Ho Gaya,10,25651,113.81,188.53
Ana Fe Entezarak,10,13106,58.15,96.33
Robaaeyat El Khayam,10,10818,48.00,79.51
Step Lightly (Junior's Arrival),9,246735,1094.76,1813.50
"Goldberg Variations, BWV 988: Variation 13 a 2 Clav. - 1955 Version",9,151134,670.58,1110.83
I've Grown Accustomed to Her Face - Mono Version,9,87742,389.31,644.90
Tiny's Tempo - Short Take 1 / Short Take 2,9,32212,142.92,236.76
"My Old Flame - Live At Masonic Temple, Ann Arbor, MI.,1954",9,20204,89.65,148.50
Davenport Blues - 2014 Remastered Version,9,15379,68.24,113.04
The Shining Birch Tree,9,12317,54.65,90.53
Loveless Love (with Benny Carter & His All Star Orchestra) - Take 2,8,110873,491.94,814.92
Breakfast Feud (feat. Benny Goodman & Charlie Christian),8,88492,392.64,650.42
On the Alamo (feat. Benny Goodman & Charlie Christian),8,48934,217.12,359.66
Come Back To Me In My Dreams,8,24525,108.82,180.26
Siberian Sleighride,8,18120,80.40,133.18
"Who Do You Love, I Hope?",8,16530,73.34,121.50
I Got It Bad (and That Ain't Good) - 1995 Remastered,7,142431,631.97,1046.87
Poor Howard / Green Corn,7,59204,262.69,435.15
You're so Desirable (with Teddy Wilson & His Orchestra) - Take 1,7,53494,237.35,393.18
Boy Scout In Switzerland,7,22365,99.23,164.38
Bumpy Weather Over Newark,7,20068,89.04,147.50
Squaty Roo - Remastered - 1995,7,18144,80.50,133.36
Indiferencia (Con Alberto Echague),7,16404,72.78,120.57
